title,author,journal,cites,year,cid,pubid,first,url
"Social, economic and environmental effects of closing commercial fisheries to enhance recreational fishing",CJ Brown,Marine Policy,5,2016,7.76907E+18,void(0),TRUE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
Where Does River Runoff Matter for Coastal Marine Conservation?,"A Fredston-Hermann, CJ Brown, S Albert, CJ Klein, S Mangubhai, ...",Frontiers in Marine Science,1,2016,1.84288E+19,void(0),FALSE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
Climate velocity and the future global redistribution of marine biodiversity,"JG Molinos, BS Halpern, DS Schoeman, CJ Brown, W Kiessling, ...",Nature Climate Change,76,2015,1.52878E+19,void(0),FALSE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
Anticipative management for coral reef ecosystem services in the 21st century,"A Rogers, AR Harborne, CJ Brown, YM Bozec, C Castro, I Chollett, ...",Global change biology,30,2015,1.76058E+19,void(0),FALSE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
Shortfalls in the global protected area network at representing marine biodiversity,"CJ Klein, CJ Brown, BS Halpern, DB Segan, J McGowan, M Beger, ...",Scientific reports,28,2015,5.48875E+18,void(0),FALSE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
"Effective conservation requires clear objectives and prioritizing actions, not places or species","C Brown, M Bode, O Venter, M Barnes, J McGowan, C Runge, J Watson, ...",Proceedings of the National Academy of Sciences of the United States ofÂ â€_,22,2015,9.19317E+17,void(0),TRUE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
Strengthening confidence in climate change impact science,"MI O'Connor, JM Holding, CV Kappel, CM Duarte, K Brander, CJ Brown, ...",Global Ecology and Biogeography,22,2015,1.56394E+19,void(0),FALSE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
Modes of interactions between environmental drivers and marine biota,"PW Boyd, CJ Brown",Frontiers in Marine Science,13,2015,6.24021E+18,void(0),FALSE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
Using threat maps for cost-effective prioritization of actions to conserve coastal habitats,"S Giakoumi, CJ Brown, S Katsanevakis, MI Saunders, HP Possingham",Marine Policy,10,2015,1.38813E+19,void(0),FALSE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
Fisheries and biodiversity benefits of using static versus dynamic models for designing marine reserve networks,"CJ Brown, C White, M Beger, HS Grantham, BS Halpern, CJ Klein, ...",Ecosphere,10,2015,9.48816E+18,void(0),TRUE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
Human impacts on connectivity in marine and freshwater ecosystems assessed using graph theory: a review,"M Saunders, C Brown, M Foley, C Febria, R Albright, M Mehling, ...",Marine and Freshwater Research,10,2015,1.22933E+19,void(0),FALSE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
Minimizing the short-term impacts of marine reserves on fisheries while meeting longâ€êterm goals for recovery,"CJ Brown, S Abdullah, PJ Mumby",Conservation Letters,9,2015,4.82053E+18,void(0),TRUE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
Geographical limits to species-range shifts are suggested by climate velocity,"MT Burrows, DS Schoeman, AJ Richardson, JG Molinos, A Hoffmann, ...",Nature,194,2014,5.09415E+18,void(0),FALSE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
The ocean,"O Hoegh-Guldberg, R Cai, ES Poloczanska, PG Brewer, S Sundby, ...",Cambridge University Press,103,2014,1.17933E+19,void(0),FALSE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
Interactions between global and local stressors of ecosystems determine management effectiveness in cumulative impact mapping,"CJ Brown, MI Saunders, HP Possingham, AJ Richardson",Diversity and distributions,43,2014,3.27086E+18,void(0),TRUE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
Interdependency of tropical marine ecosystems in response to climate change,"MI Saunders, JX Leon, DP Callaghan, CM Roelfsema, S Hamylton, ...",Nature Climate Change,31,2014,5.46508E+18,void(0),FALSE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
"Unintended cultivation, shifting baselines, and conflict between objectives for fisheries and conservation","CJ Brown, R Trebilco",Conservation biology,14,2014,1.75635E+19,void(0),TRUE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
Trade-offs between fisheries and the conservation of ecosystem function are defined by management strategy,"CJ Brown, PJ Mumby",Frontiers in Ecology and the Environment,13,2014,8.0498E+18,void(0),TRUE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
Global imprint of climate change on marine life,"ES Poloczanska, CJ Brown, WJ Sydeman, W Kiessling, DS Schoeman, ...",Nature Climate Change,492,2013,6.95827E+18,void(0),FALSE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
Managing for interactions between local and global stressors of ecosystems,"CJ Brown, MI Saunders, HP Possingham, AJ Richardson",PLoS One,89,2013,1.10236E+19,void(0),TRUE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
"Achieving the triple bottom line in the face of inherent trade-offs among social equity, economic return, and conservation","BS Halpern, CJ Klein, CJ Brown, M Beger, HS Grantham, S Mangubhai, ...",Proceedings of the National Academy of Sciences,87,2013,1.92829E+18,void(0),FALSE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
Impacts of depleting forage species in the California Current,"IC Kaplan, CJ Brown, EA Fulton, IA Gray, JC Field, ADM Smith",Environmental Conservation,38,2013,1.039E+19,void(0),FALSE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
Climate change and marine life,"AJ Richardson, CJ Brown, K Brander, JF Bruno, L Buckley, MT Burrows, ...","Biology letters, rsbl",44,2012,1.27691E+19,void(0),FALSE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
The value of coordinated management of interacting ecosystem services,"C White, C Costello, BE Kendall, CJ Brown",Ecology letters,29,2012,1.82128E+19,void(0),FALSE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
How long can fisheries management delay action in response to ecosystem and climate change?,"CJ Brown, EA Fulton, HP Possingham, AJ Richardson",Ecological Applications,25,2012,3.52182E+18,void(0),TRUE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
Invasive Species Unchecked by Climateâ€”Response,"MT Burrows, DS Schoeman, CM Duarte, MI O'Connor, LB Buckley, ...",Science,4,2012,1.158E+19,void(0),FALSE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
Invasive species unchecked by climate-response,"MT Burrows, DS Schoeman, CM Duarte, MI O'Connor, LB Buckley, ...",Science,4,2012,1.158E+19,void(0),FALSE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
The pace of shifting climate in marine and terrestrial ecosystems,"MT Burrows, DS Schoeman, LB Buckley, P Moore, ES Poloczanska, ...",Science,583,2011,8.63176E+18,void(0),FALSE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
Impacts of fishing lowâ€“trophic level species on marine ecosystems,"ADM Smith, CJ Brown, CM Bulman, EA Fulton, P Johnson, IC Kaplan, ...",Science,320,2011,1.71977E+19,void(0),FALSE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
Quantitative approaches in climate change ecology,"CJ Brown, DS Schoeman, WJ Sydeman, K Brander, LB Buckley, ...",Global Change Biology,88,2011,1.15616E+19,void(0),TRUE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
Theoretical Predictions for How Temperature Affects the Dynamics of Interacting Herbivores and Plants,"MI Oâ€™Connor, B Gilbert, CJ Brown",The American Naturalist,78,2011,1.48953E+19,void(0),FALSE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
Effects of climate driven primary production change on marine food webs: implications for fisheries and conservation,"CJ Brown, EA Fulton, AJ Hobday, RJ Matear, HP Possingham, C Bulman, ...",Global Change Biology,145,2010,5.64239E+18,void(0),TRUE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
Marine climate change impacts: Out of sight but not out of mind,"ES Poloczanska, K Brander, CJ Brown, JF Bruno, LB Buckley, ...",International Symposium on Climate Change Effects on Fish and Fisheries BookÂ â€_,0,2010,NA,void(0),FALSE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
Darwinian fisheries science needs to consider realistic fishing pressures over evolutionary time scales,"CJ Brown, AJ Hobday, PE Ziegler, DC Welsford",Marine Ecology-Progress Series,36,2008,1.81467E+19,void(0),TRUE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
Does it Matter which One Got Away?: Selective Harvesting and Evolution in Fisheries,CJ Brown,University of Tasmania,0,2007,NA,void(0),TRUE,https://scholar.google.com.au/citations?view_op=view_citation&hl=en&user=1qG6yFMAAAAJ&citation_for_view=1qG6yFMAAAAJ:void(0)
