"SourceFile","DateTimeOriginal","GPSLongitude","GPSLatitude","GPSTimeStamp"
"DSC_3711.JPG","2015:09:05 06:26:18",-124.597398333333,49.5272616666667,"14:26:18"
"DSC_3712.JPG","2015:09:05 06:28:51",-124.597776666667,49.5270716666667,"14:28:51"
"DSC_3713.JPG","2015:09:05 06:30:04",-124.597935,49.527015,"14:30:04"
"DSC_3714.JPG","2015:09:05 06:32:52",-124.597953333333,49.527005,"14:32:52"
"DSC_3715.JPG","2015:09:05 06:34:41",-124.597838333333,49.5269216666667,"14:34:41"
"DSC_3716.JPG","2015:09:05 06:36:32",-124.597745,49.5268616666667,"14:36:32"
"DSC_3717.JPG","2015:09:05 06:37:54",-124.597576666667,49.5268716666667,"14:37:54"
"DSC_3719.JPG","2015:09:05 06:39:10",-124.597533333333,49.52679,"14:39:10"
"DSC_3722.JPG","2015:09:05 06:40:55",-124.597548333333,49.526755,"14:40:55"
"DSC_3724.JPG","2015:09:05 06:43:15",-124.597555,49.52674,"14:43:15"
"DSC_3726.JPG","2015:09:05 06:45:19",-124.597595,49.5264666666667,"14:45:20"
"DSC_3727.JPG","2015:09:05 06:46:29",-124.597611666667,49.5264533333333,"14:46:29"
"DSC_3728.JPG","2015:09:05 06:48:11",-124.597521666667,49.5264533333333,"14:48:11"
"DSC_3730.JPG","2015:09:05 06:49:49",-124.597243333333,49.5264866666667,"14:49:49"
"DSC_3733.JPG","2015:09:05 06:56:12",-124.597016666667,49.52639,"14:56:12"
